Customer_ID,Customer_Name,Segment,Email,Password
LS-172304,Lycoris Saunders,Consumer,wd6qxwj@gmail.com,'/pc8UtnL5#>
MV-174854,Mark Van Huff,Consumer,9mf2t@gmail.com,XiDQ~)lHN}7|
CS-121304,Chad Sievert,Consumer,tidkdxp4m8@gmail.com,F67g0D#V8olY
AP-109154,Arthur Prichep,Consumer,lrw13egc2@gmail.com,d#r_SrV3RPH(
JF-154904,Jeremy Farry,Consumer,hcascaif50@gmail.com,?_6C!JxJFB82
WB-218504,William Brown,Consumer,svwqpe8zfh@gmail.com,/mlf0gl<4yMk
JA-159704,Joseph Airdo,Consumer,z77hmd96q@gmail.com,XiZ4>lvg{O15
SP-209204,Susan Pistek,Consumer,ejaer95m@gmail.com,wr:V.WQCH?S}
RL-196154,Rob Lucas,Consumer,uo85epd@gmail.com,;f#j\3Qm#[\]
KD-163454,Katherine Ducich,Consumer,60c64p9n@gmail.com,4<V\AZy7jL=j
JM-161954,Justin MacKendrick,Consumer,9gkvzl@gmail.com,Q{si6EL<SH7^
RD-195854,Rob Dowd,Consumer,xvfnd1aj@gmail.com,_5Q$Bld&vuoc
AB-101654,Alan Barnes,Consumer,g79uee@gmail.com,U2nEumw^IZ;N
AR-105404,Andy Reiter,Consumer,tb8u9@gmail.com,H?M_qn]D|~EJ
LH-171554,Logan Haushalter,Consumer,klr0lrlje@gmail.com,2&=[l#F\]0~!
AR-105104,Andrew Roberts,Consumer,rl6t3a3@gmail.com,"""u|;-Nk1t(Lp"
NG-184304,Nathan Gelder,Consumer,quozf@gmail.com,;rk}-H\q6&1a
DP-130004,Darren Powers,Consumer,ayemtih@gmail.com,7$X(yD`3<1$h
TS-213404,Toby Swindell,Consumer,dwsere@gmail.com,x}mGnD:L0KWN
KM-167204,Kunst Miller,Consumer,la8crzvf4@gmail.com,)P!Dt$7n:oD'
AI-108554,Arianne Irving,Consumer,5nbetm@gmail.com,UL/p+[r/vlWR
CL-125654,Clay Ludtke,Consumer,fi4x93bz@gmail.com,YR:z9>9<$xK&
SW-202454,Scot Wooten,Consumer,sppcp@gmail.com,5$LtXqkN5+ar
CC-122204,Chris Cortes,Consumer,t3mjinv0nk@gmail.com,~1bYpRQi0#%&
LC-171404,Logan Currie,Consumer,o8bfb3mdtg@gmail.com,@p-Z(+Nb!^ka
JF-152954,Jason Fortune-,Consumer,f5nkpam@gmail.com,UJNTXy9${fP$
JO-152804,Jas O'Carroll,Consumer,q0zwd@gmail.com,qd<NsoAzOYgP
TB-216254,Trudy Brown,Consumer,g5sbzlufm@gmail.com,'rR34kTJGy}>
TT-210704,Ted Trevino,Consumer,0fne7l8ub@gmail.com,JIWso)6%T&ze
DO-134354,Denny Ordway,Consumer,w953d65r@gmail.com,"yo$Ty{2Y""vWY"
LS-172454,Lynn Smith,Consumer,ybb6t5@gmail.com,V+n8oR=?y<MC
OT-187304,Olvera Toch,Consumer,rp8re@gmail.com,UQb6#'2SKQS.
BD-113204,Bill Donatelli,Consumer,s0ehqblhn2@gmail.com,"$""HqLYugdu09"
MV-181904,Mike Vittorini,Consumer,pqqqur@gmail.com,SWv%m?uD=ye_
GT-147554,Guy Thornton,Consumer,pz1ai203@gmail.com,"_}kkMp""v(|{8"
CC-123704,Christopher Conant,Consumer,ubrpi@gmail.com,JMl+F]n2D7oW
JM-155804,Jill Matthias,Consumer,39yasjf@gmail.com,J5RvEN|mG&+@
PS-187604,Pamela Stobb,Consumer,5l9m23@gmail.com,Wy=jT78|Bxyg
CC-124754,Cindy Chapman,Consumer,71mb6c@gmail.com,Brz0<]*-|P:0
JE-157454,Joel Eaton,Consumer,buxo4y7kj6@gmail.com,}'c8`~O2rJ'P
XP-218654,Xylona Preis,Consumer,mxijmax7d@gmail.com,&h`_n.I)^lR5
SO-203354,Sean O'Donnell,Consumer,0aidfm4@gmail.com,"l2""^b[A|Qt}("
CK-125954,Clytie Kelty,Consumer,pscwt@gmail.com,"qNze""Q^qj$Wo"
LL-168404,Lauren Leatherbury,Consumer,9ceg78injo@gmail.com,BeH<Na#rj[t'
DD-135704,Dorothy Dickinson,Consumer,f263qsiz@gmail.com,LTH<kq~*r>3_
DV-134654,Dianna Vittorini,Consumer,otrxj8q@gmail.com,vuEiq'UW8(7I
CC-126704,Craig Carreira,Consumer,sfegz5bwgt@gmail.com,%XC14FAIm:jX
TT-212204,Thomas Thornton,Consumer,6j14kmb@gmail.com,NolKU:R\S67x
